Alternatives,1,2,3,4,5,6
Stemmer svært dårlig,6 ,9 ,10 ,12 ,12 ,14 
Stemmer ganske dårlig,11 ,13 ,14 ,15 ,16 ,15 
Stemmer verken dårlig eller godt,26 ,25 ,26 ,28 ,26 ,28 
Stemmer ganske godt,32 ,28 ,25 ,23 ,24 ,24 
Stemmer svært godt,11 ,8 ,9 ,7 ,6 ,2 
Vet ikke,15 ,16 ,17 ,14 ,18 ,17 
