Alternatives,1,2,3,4,5,6
Stemmer svært dårlig,21 ,16 ,18 ,17 ,13 ,16 
Stemmer ganske dårlig,30 ,34 ,33 ,30 ,32 ,32 
Stemmer verken dårlig eller godt,28 ,28 ,26 ,30 ,29 ,30 
Stemmer ganske godt,8 ,7 ,6 ,7 ,6 ,7 
Stemmer svært godt,3 ,2 ,3 ,2 ,2 ,3 
Vet ikke,9 ,13 ,14 ,15 ,17 ,13 
