Alternatives,1,2,3,4,5,6
Stemmer svært dårlig,22 ,31 ,32 ,39 ,36 ,49 
Stemmer ganske dårlig,15 ,19 ,18 ,17 ,18 ,22 
Stemmer verken dårlig eller godt,23 ,20 ,23 ,21 ,22 ,14 
Stemmer ganske godt,20 ,17 ,14 ,10 ,18 ,4 
Stemmer svært godt,13 ,10 ,6 ,6 ,4 ,4 
Vet ikke,7 ,3 ,7 ,7 ,3 ,6 
