Alternatives,1,2,3,4,5,6
Ikke bekymret i det hele tatt,16 ,17 ,21 ,19 ,24 ,27 
Litt bekymret,39 ,44 ,41 ,48 ,41 ,53 
Ganske bekymret,26 ,25 ,24 ,23 ,23 ,9 
Veldig bekymret,16 ,11 ,10 ,7 ,7 ,8 
Vet ikke,3 ,2 ,4 ,3 ,5 ,3 
