Alternatives,1,2,3,4,5,6
Ikke kommentert / I svært liten grad,23 ,26 ,28 ,26 ,29 ,29 
I ganske liten grad,25 ,26 ,25 ,28 ,34 ,27 
I verken liten eller stor grad,31 ,29 ,28 ,27 ,21 ,29 
I ganske stor grad,12 ,13 ,10 ,10 ,7 ,8 
I svært stor grad,1 ,1 ,1 ,1 ,1 ,2 
Vet ikke,7 ,5 ,7 ,8 ,8 ,6 
