Alternatives,1,2,3,4,5,6
Ikke bekymret i det hele tatt,7 ,7 ,9 ,10 ,11 ,12 
Litt bekymret,33 ,33 ,32 ,35 ,33 ,43 
Ganske bekymret,32 ,36 ,33 ,30 ,31 ,26 
Veldig bekymret,26 ,23 ,24 ,23 ,20 ,17 
Vet ikke,3 ,2 ,3 ,2 ,5 ,3 
