Alternatives,1,2,3,4,5,6
Stemmer svært dårlig,12 ,10 ,9 ,8 ,6 ,6 
Stemmer ganske dårlig,26 ,25 ,22 ,21 ,21 ,20 
Stemmer verken dårlig eller godt,37 ,37 ,39 ,40 ,40 ,44 
Stemmer ganske godt,14 ,16 ,16 ,17 ,16 ,16 
Stemmer svært godt,6 ,7 ,8 ,9 ,9 ,11 
Vet ikke,5 ,6 ,6 ,6 ,8 ,4 
