Alternatives,1,2,3,4,5,6
(Nesten) Daglig,3 ,2 ,2 ,1 ,2 ,1 
Ukentlig,15 ,15 ,13 ,12 ,11 ,13 
MÃƒÂ¥nedlig,32 ,29 ,27 ,26 ,28 ,26 
Sjeldnere,36 ,39 ,44 ,46 ,39 ,43 
Aldri,9 ,10 ,10 ,10 ,15 ,14 
Vet ikke,5 ,4 ,4 ,4 ,5 ,3 
