Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;7.0;6;4;3;4;10
Stemmer ganske dårlig;15;12;10;9;10;5
Stemmer verken dårlig eller godt;30;32;36;35;30;33
Stemmer ganske godt;21;24;23;26;24;22
Stemmer svært godt;13;14.0;15;16;18;20
Vet ikke;13;12;12;11;14.0;11
