Alternatives,1,2,3,4,5,6
Stemmer svært dårlig,11 ,12 ,14 ,16 ,20 ,20 
Stemmer ganske dårlig,10 ,9 ,12 ,12 ,12 ,11 
Stemmer verken dårlig eller godt,23 ,30 ,30 ,33 ,30 ,40 
Stemmer ganske godt,31 ,30 ,25 ,24 ,23 ,19 
Stemmer svært godt,20 ,13 ,12 ,8 ,10 ,6 
Vet ikke,5 ,5 ,6 ,6 ,6 ,5 
