Alternatives,1,2,3,4,5,6
Stemmer svært dårlig,7 ,6 ,6 ,8 ,9 ,8 
Stemmer ganske dårlig,6 ,6 ,5 ,6 ,8 ,5 
Stemmer verken dårlig eller godt,22 ,28 ,27 ,29 ,31 ,38 
Stemmer ganske godt,37 ,39 ,41 ,40 ,36 ,41 
Stemmer svært godt,25 ,20 ,17 ,16 ,13 ,8 
Vet ikke,2 ,2 ,3 ,2 ,3 ,1 
