Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;9;10;12;10;16;14.0
Stemmer ganske dårlig;7.0;12;13;12;13;11
Stemmer verken dårlig eller godt;29.0;32;33;35;33;39
Stemmer ganske godt;31;26;22;24;18;24
Stemmer svært godt;15;12;11;8;9;9
Vet ikke;8;9;9;11;11;3
