Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;6;8;9;10;14.0;17
Stemmer ganske dårlig;15;14.0;15;18;22;16
Stemmer verken dårlig eller godt;32;36;36;34;32;33
Stemmer ganske godt;29.0;28.0;23;26;22;22
Stemmer svært godt;6;5;7.0;4;2;5
Vet ikke;11;9;9;9;8;7.0
