Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;54;47;41;33;30;30
Stemmer ganske dårlig;16;23;24;32;30;29.0
Stemmer verken dårlig eller godt;15;15;16;17;20;21
Stemmer ganske godt;6;5;7.0;8;7.0;12
Stemmer svært godt;4;6;6;5;6;4
Vet ikke;5;4;6;4;8;4
