Unnamed: 0;1;2;3;4;5;6
(Nesten) Daglig;3;3;2;3;4;3
Ukentlig;20;17;17;17;16;18
Månedlig;34;28.0;28.0;24;24;23
Sjeldnere;33;40;39;40;39;40
Aldri;6;7.0;8;10;11;11
Vet ikke;3;4;6;6;6;6
