Alternatives,1,2,3,4,5,6
Stemmer svært dårlig,12 ,15 ,20 ,29 ,24 ,32 
Stemmer ganske dårlig,12 ,13 ,12 ,12 ,11 ,16 
Stemmer verken dårlig eller godt,19 ,19 ,21 ,20 ,23 ,9 
Stemmer ganske godt,32 ,31 ,24 ,20 ,23 ,17 
Stemmer svært godt,18 ,16 ,14 ,12 ,13 ,19 
Vet ikke,7 ,6 ,9 ,8 ,6 ,7 
