Alternatives,1,2,3,4,5,6
Stemmer svært dårlig,9 ,10 ,13 ,12 ,14 ,15 
Stemmer ganske dårlig,12 ,11 ,11 ,14 ,12 ,12 
Stemmer verken dårlig eller godt,30 ,33 ,34 ,35 ,34 ,35 
Stemmer ganske godt,25 ,26 ,21 ,21 ,23 ,20 
Stemmer svært godt,13 ,11 ,9 ,8 ,8 ,9 
Vet ikke,10 ,9 ,11 ,10 ,9 ,10 
