Alternatives,1,2,3,4,5,6
Stemmer svært dårlig,22 ,31 ,36 ,47 ,43 ,61 
Stemmer ganske dårlig,15 ,15 ,21 ,18 ,15 ,16 
Stemmer verken dårlig eller godt,21 ,21 ,17 ,17 ,19 ,17 
Stemmer ganske godt,20 ,17 ,13 ,9 ,16 ,1 
Stemmer svært godt,17 ,10 ,7 ,4 ,3 ,3 
Vet ikke,6 ,6 ,6 ,5 ,3 ,1 
