Alternatives,1,2,3,4,5,6
Stemmer svært dårlig,52 ,47 ,43 ,36 ,36 ,25 
Stemmer ganske dårlig,25 ,31 ,31 ,37 ,34 ,42 
Stemmer verken dårlig eller godt,12 ,13 ,15 ,18 ,16 ,25 
Stemmer ganske godt,5 ,4 ,5 ,4 ,7 ,2 
Stemmer svært godt,2 ,2 ,2 ,2 ,2 ,2 
Vet ikke,4 ,3 ,4 ,3 ,4 ,4 
