;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;10,7 ;21,6 ;33,2 ;17,7 ;5,9 ;10,9 
2019;10;19;32;22;7;10
2020;11;19;32;23;7;8
2021;9;16;32;26;9;8
2022;10;17;31;24;9;9
2023;11;19;32;22;8;8
