;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;40;32;14;6;4;5
2019;43;33;15;4;2;4
2020;43;32;14;5;2;4
2021;45;31;14;5;2;3
2022;45;30;14;5;2;3
2023;44;31;14;5;2;4
