;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;;;;;;
2019;22;17;22;16;13;10
2020;28;16;21;15;12;8
2021;24;17;22;16;13;8
2022;25;19;20;16;12;8
2023;26;16;22;16;12;9
2024;25;17;23;16;13;7
