;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;4;7;17;43;22;8
2019;12;12;18;31;20;7
2020;19;14;19;25;16;8
2021;24;15;20;22;11;7
2022;20;15;19;24;15;7
2023;19;13;19;27;15;7
2024;21;14;21;23;14;6
