;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;9;10;31;24;8;18
2019;10;11;31;25;9;13
2020;9;10;30;27;12;11
2021;9;10;32;27;11;11
2022;10;12;33;24;10;10
2023;11;12;33;24;10;10
2023;11;11;32;25;12;9
