;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2019;13;22;31;19;5;10
2020;16;23;29;19;5;8
2021;15;22;29;19;6;9
2022;16;20;30;20;6;9
2023;16;22;30;18;5;8
2024;17;22;32;16;4;8
