;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;2;5;16;50;21;6
2019;3;6;19;48;17;8
2020;2;6;19;49;19;6
2021;3;6;21;46;17;7
2022;2;6;18;47;20;6
2023;3;6;21;46;17;7
2024;3;5;18;47;21;6
