Svar,Mann,Kvinne
Stemmer svært dårlig,14,8
Stemmer ganske dårlig,20,17
Stemmer verken dårlig eller godt,32,32
Stemmer ganske godt,20,24
Stemmer svært godt,7,9
Vet ikke,7,10
