Svar,Mann,Kvinne
Stemmer svært dårlig,21,9
Stemmer ganske dårlig,11,9
Stemmer verken dårlig eller godt,29,27
Stemmer ganske godt,26,31
Stemmer svært godt,11,18
Vet ikke,3,6
