Svar,Mann,Kvinne
Stemmer svært dårlig,26,17
Stemmer ganske dårlig,14,14
Stemmer verken dårlig eller godt,20,22
Stemmer ganske godt,21,26
Stemmer svært godt,18,11
Vet ikke,2,10
