Svar,Mann,Kvinne
Stemmer svært dårlig,42,23
Stemmer ganske dårlig,19,18
Stemmer verken dårlig eller godt,18,21
Stemmer ganske godt,14,19
Stemmer svært godt,5,12
Vet ikke,2,6
