Svar,Mann,Kvinne
Stemmer svært dårlig,6,9
Stemmer ganske dårlig,20,22
Stemmer verken dårlig eller godt,37,41
Stemmer ganske godt,20,16
Stemmer svært godt,13,5
Vet ikke,4,7
