Svar,Mann,Kvinne
Stemmer svært dårlig,16,6
Stemmer ganske dårlig,20,17
Stemmer verken dårlig eller godt,32,33
Stemmer ganske godt,20,24
Stemmer svært godt,6,9
Vet ikke,7,10
