Svar,Mann,Kvinne
Stemmer svært dårlig,13,8
Stemmer ganske dårlig,13,10
Stemmer verken dårlig eller godt,33,32
Stemmer ganske godt,24,27
Stemmer svært godt,11,12
Vet ikke,6,11
