Svar,Mann,Kvinne
Stemmer svært dårlig,18,11
Stemmer ganske dårlig,9,8
Stemmer verken dårlig eller godt,18,20
Stemmer ganske godt,28,33
Stemmer svært godt,24,17
Vet ikke,2,11
