Svar,Mann,Kvinne
Stemmer svært dårlig,5,2
Stemmer ganske dårlig,6,5
Stemmer verken dårlig eller godt,21,16
Stemmer ganske godt,45,48
Stemmer svært godt,18,24
Vet ikke,5,6
