Svar,Mann,Kvinne
Stemmer svært dårlig,39,23
Stemmer ganske dårlig,17,17
Stemmer verken dårlig eller godt,17,22
Stemmer ganske godt,15,19
Stemmer svært godt,10,11
Vet ikke,1,7
