Svar,Mann,Kvinne
Stemmer svært dårlig,20,6
Stemmer ganske dårlig,20,11
Stemmer verken dårlig eller godt,25,26
Stemmer ganske godt,20,26
Stemmer svært godt,7,9
Vet ikke,8,22
