Svar,Mann,Kvinne
Stemmer svært dårlig,35,15
Stemmer ganske dårlig,18,15
Stemmer verken dårlig eller godt,20,25
Stemmer ganske godt,14,18
Stemmer svært godt,9,16
Vet ikke,3,10
