Svar,Mann,Kvinne
Stemmer svært dårlig,12,4
Stemmer ganske dårlig,8,4
Stemmer verken dårlig eller godt,32,24
Stemmer ganske godt,35,44
Stemmer svært godt,12,21
Vet ikke,1,2
