Svar,Mann,Kvinne
Stemmer svært dårlig,3,1
Stemmer ganske dårlig,3,1
Stemmer verken dårlig eller godt,18,11
Stemmer ganske godt,31,32
Stemmer svært godt,43,52
Vet ikke,3,3
