Svar,Mann,Kvinne
Stemmer svært dårlig,12,6
Stemmer ganske dårlig,17,14
Stemmer verken dårlig eller godt,34,35
Stemmer ganske godt,25,28
Stemmer svært godt,4,6
Vet ikke,8,11
