Svar,Mann,Kvinne
Stemmer svært dårlig,37,52
Stemmer ganske dårlig,30,28
Stemmer verken dårlig eller godt,21,12
Stemmer ganske godt,6,4
Stemmer svært godt,3,1
Vet ikke,3,4
