Svar,Mann,Kvinne
Stemmer svært dårlig,16,8
Stemmer ganske dårlig,16,12
Stemmer verken dårlig eller godt,24,23
Stemmer ganske godt,23,25
Stemmer svært godt,19,23
Vet ikke,2,8
