Svar,Mann,Kvinne
Stemmer svært dårlig,13,21
Stemmer ganske dårlig,30,36
Stemmer verken dårlig eller godt,32,22
Stemmer ganske godt,11,5
Stemmer svært godt,4,1
Vet ikke,11,15
