alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,12,18,25,23
Stemmer ganske dårlig,13,14,14,14
Stemmer verken dårlig eller godt,27,23,20,19
Stemmer ganske godt,31,23,20,24
Stemmer svært godt,8,12,16,16
Vet ikke,10,9,5,4
