alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,6,10,19,11
Stemmer ganske dårlig,9,10,15,17
Stemmer verken dårlig eller godt,25,19,22,27
Stemmer ganske godt,29,26,20,24
Stemmer svært godt,24,27,20,18
Vet ikke,7,8,5,3
