alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,13,11,8,3
Stemmer ganske dårlig,27,27,19,16
Stemmer verken dårlig eller godt,33,33,42,42
Stemmer ganske godt,17,13,17,23
Stemmer svært godt,4,7,9,11
Vet ikke,6,8,5,5
