alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,1,2,2,2
Stemmer ganske dårlig,1,2,2,2
Stemmer verken dårlig eller godt,12,9,16,18
Stemmer ganske godt,26,23,33,37
Stemmer svært godt,57,60,45,38
Vet ikke,3,5,1,2
