alternatives,Under 30,30-44,45-59,Over 60
Ikke kommentert/I svært liten grad,16,21,26,24
I ganske liten grad,31,27,26,28
I verken liten eller stor grad,31,32,30,32
I ganske stor grad,14,12,11,10
I svært stor grad,2,1,1,1
Vet ikke ,6,7,6,5
