alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,8,12,18,15
Stemmer ganske dårlig,5,9,10,9
Stemmer verken dårlig eller godt,12,17,18,20
Stemmer ganske godt,35,29,28,32
Stemmer svært godt,20,22,23,19
Vet ikke,12,11,5,5
