alternatives,Under 30,30-44,45-59,Over 60
Ikke bekymret i det hele tatt,6,6,7,8
Litt bekymret,21,26,27,29
Ganske bekymret,39,33,33,32
Veldig bekymret,30,33,32,29
Vet ikke ,3,3,1,2
