alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,4,7,10,8
Stemmer ganske dårlig,6,7,5,5
Stemmer verken dårlig eller godt,26,22,29,32
Stemmer ganske godt,40,40,37,41
Stemmer svært godt,22,21,17,13
Vet ikke,2,3,2,1
