alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,16,29,40,34
Stemmer ganske dårlig,16,15,19,21
Stemmer verken dårlig eller godt,21,17,17,23
Stemmer ganske godt,24,20,14,15
Stemmer svært godt,17,14,7,5
Vet ikke,6,5,4,2
