alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,15,19,33,26
Stemmer ganske dårlig,12,14,16,20
Stemmer verken dårlig eller godt,20,22,21,25
Stemmer ganske godt,21,19,13,15
Stemmer svært godt,22,17,10,9
Vet ikke,10,8,8,4
