alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,10,7,4,4
Stemmer ganske dårlig,16,15,10,10
Stemmer verken dårlig eller godt,29,29,31,36
Stemmer ganske godt,20,18,23,27
Stemmer svært godt,8,12,20,14
Vet ikke,17,18,11,8
