alternatives,Under 30,30-44,45-59,Over 60
(Nesten) Daglig,2,2,2,3
Ukentlig ,15,16,17,20
Månedlig,38,33,25,25
Sjeldnere,33,38,41,38
Aldri,7,8,9,7
Vet ikke,5,3,6,5
