alternatives,Under 30,30-44,45-59,Over 60
Ikke bekymret i det hele tatt,8,14,20,18
Litt bekymret,32,38,41,44
Ganske bekymret,40,28,27,26
Veldig bekymret,15,16,9,10
Vet ikke ,4,3,2,2
