alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,6,9,14,11
Stemmer ganske dårlig,8,11,13,12
Stemmer verken dårlig eller godt,28,28,34,36
Stemmer ganske godt,33,25,23,25
Stemmer svært godt,15,15,11,9
Vet ikke,11,13,6,8
