alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,10,16,21,17
Stemmer ganske dårlig,18,19,24,24
Stemmer verken dårlig eller godt,31,30,30,36
Stemmer ganske godt,24,22,14,12
Stemmer svært godt,8,5,4,2
Vet ikke,8,8,7,9
