alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,8,12,20,15
Stemmer ganske dårlig,9,10,10,10
Stemmer verken dårlig eller godt,23,22,29,32
Stemmer ganske godt,32,27,24,30
Stemmer svært godt,22,23,13,9
Vet ikke,5,6,4,3
