alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,17,23,16,15
Stemmer ganske dårlig,39,33,32,32
Stemmer verken dårlig eller godt,23,22,30,29
Stemmer ganske godt,10,9,7,7
Stemmer svært godt,2,2,3,2
Vet ikke,8,12,12,15
