alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,51,57,42,37
Stemmer ganske dårlig,28,20,32,33
Stemmer verken dårlig eller godt,11,13,18,19
Stemmer ganske godt,6,3,4,6
Stemmer svært godt,2,3,2,2
Vet ikke,3,5,2,4
