alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,3,8,16,17
Stemmer ganske dårlig,12,12,14,20
Stemmer verken dårlig eller godt,25,21,28,26
Stemmer ganske godt,30,29,21,18
Stemmer svært godt,11,12,7,5
Vet ikke,18,18,13,13
