alternatives,Under 30,30-44,45-59,Over 60
Stemmer svært dårlig,12,24,40,34
Stemmer ganske dårlig,17,12,16,21
Stemmer verken dårlig eller godt,18,18,18,22
Stemmer ganske godt,27,21,13,16
Stemmer svært godt,16,17,10,6
Vet ikke,10,7,3,2
